,10MI,2|AUC-0.5|,AUC,MI,U1,avai,feature,i,miss,n_neg,n_pos,p,tl,p_corr,reject
0,0.0,0.006954448370166122,0.49652277581491694,0.0,14205319.0,0.31749863051218846,respiratory_rate_meas_p0.1,3.0,0.6825013694878115,16849.0,1698.0,0.592237971211572,1.0,0.6443847108151066,False
1,0.0017562150622008055,0.006030842372431566,0.5030154211862158,0.00017562150622008055,14391071.0,0.31749863051218846,respiratory_rate_meas_p0.5,3.0,0.6825013694878115,16849.0,1698.0,0.6459171786988995,1.0,0.6855439994779731,False
2,0.00031535471197274845,0.007874768757705874,0.5039373843788529,3.1535471197274845e-05,14417448.0,0.31749863051218846,respiratory_rate_meas_p0.9,3.0,0.6825013694878115,16849.0,1698.0,0.5512351621620386,1.0,0.6113056606027736,False
3,0.03020204664441195,0.02631761931953469,0.48684119034023265,0.003020204664441195,1386291.0,0.09410093125171186,amount_fentanyl_p0.1,3.0,0.9058990687482882,4918.0,579.0,0.28128030886522604,1.0,0.33559650643920075,False
4,0.0075260308827496125,0.013730534829932806,0.4931347325850336,0.0007526030882749613,1404212.0,0.09410093125171186,amount_fentanyl_p0.5,3.0,0.9058990687482882,4918.0,579.0,0.5711343080368906,1.0,0.6253559195593802,False
5,0.010989537779366731,0.02594150282245411,0.512970751411227,0.0010989537779366731,1460695.5,0.09410093125171186,amount_fentanyl_p0.9,3.0,0.9058990687482882,4918.0,579.0,0.2853203409935583,1.0,0.3380850615882574,False
6,0.04257495342250506,0.07393516187056681,0.5369675809352834,0.004257495342250506,1529027.0,0.09410093125171186,amount_fentanyl_sum,3.0,0.9058990687482882,4918.0,579.0,0.002678912703074736,1.0,0.004543646055214993,True
7,0.027842635936754512,0.00277108586379049,0.49861445706810475,0.002784263593675451,69856222.0,0.7320597096685839,volume_water-full_electrolyte_solution_p0.1,3.0,0.2679402903314161,39189.0,3575.0,0.026279456331245347,1.0,0.03852835546869021,True
8,0.04511870399230844,0.00251851034978956,0.4987407448251052,0.004511870399230844,69873915.0,0.7320597096685839,volume_water-full_electrolyte_solution_p0.5,3.0,0.2679402903314161,39189.0,3575.0,0.03780676127356238,1.0,0.054054295044018943,False
9,0.031138518272382232,0.000495864848616856,0.49975206757569157,0.003113851827238223,70015602.0,0.7320597096685839,volume_water-full_electrolyte_solution_p0.9,3.0,0.2679402903314161,39189.0,3575.0,0.6973629333273187,1.0,0.7224178890157253,False
10,0.044864083446751746,0.03866545967747825,0.5193327298387391,0.004486408344675175,72758866.0,0.7320597096685839,volume_water-full_electrolyte_solution_sum,3.0,0.2679402903314161,39189.0,3575.0,5.169814783859377e-11,1.0,2.4172377232639787e-10,True
11,0.07755878775987268,0.23242402082798952,0.6162120104139948,0.007755878775987268,158556269.5,1.0,age,3.0,0.0,53617.0,4799.0,2.692292844986367e-157,1.0,1.552555540608805e-155,True
12,0.05521388632338642,0.012855493804976748,0.5064277469024884,0.005521388632338642,24908630.5,0.43637017255546423,bmi,3.0,0.5636298274445357,23388.0,2103.0,0.32804715596476564,1.0,0.3808869663215064,False
